Genome	KO_No	Completeness	Size	HQ
LOR036Cb1	1090	95.36	2329129	TRUE
LOR042Cb1	1101	89.39	2324687	FALSE
LOR046Cb1	1121	96.54	2570887	TRUE
LOR051Cb1	1116	99.43	2471998	TRUE
LOR051Cb2	1103	96.63	1640577	FALSE
LOR051Cb3	753	80.23	968009	FALSE
LOR051Cb4	1057	76.96	2725261	TRUE
LOR054Cb1	1122	99.43	2693243	TRUE
LOR054Cb10	360	96.05	660351	FALSE
LOR054Cb11	1562	94.89	3158651	FALSE
LOR054Cb12	1591	93.53	3259244	TRUE
LOR054Cb13	1104	92.16	2055818	FALSE
LOR054Cb14	721	91.83	1387323	FALSE
LOR054Cb2	1526	88.94	3195386	TRUE
LOR054Cb3	1319	78.36	3112864	FALSE
LOR054Cb4	950	71.75	1910213	FALSE
LOR054Cb5	1130	69.6	2112364	FALSE
LOR054Cb6	1056	65.81	2045538	TRUE
LOR054Cb7	1455	60.94	2978777	FALSE
LOR054Cb8	1131	59.41	2540940	TRUE
LOR054Cb9	1302	54.4	2651237	TRUE
LOR055Cb1	944	99.43	2020285	FALSE
LOR055Cb2	1011	99.21	2100780	TRUE
LOR055Cb3	1114	92.89	2470210	TRUE
LOR055Cb4	1027	88.94	2006061	TRUE
LOR055Cb5	851	68.93	2060862	FALSE
LOR055Cb6	811	54.84	1797156	FALSE
LOR060Cb1	952	75.33	1950050	FALSE
LOR061Cb1	1073	88.19	2177294	FALSE
LOR062Cb1	1117	97.12	2455787	TRUE
LOR063Cb1	1114	99.32	2456518	TRUE
LOR065Cb1	1131	100	2539014	TRUE
LOR065Cb2	627	50.02	720950	FALSE
LOR070Cb1	1514	99.43	2692361	FALSE
LOR070Cb2	1124	73.75	2596991	TRUE
LOR072Cb1	1114	99.43	2468531	TRUE
LOR072Cb2	996	68.45	1661530	FALSE
LOR074Cb1	1096	97.05	2390339	TRUE
LOR074Cb2	633	65.68	796138	FALSE
LOR074Cb3	1239	60.07	2185676	FALSE
LOR074Cb4	1148	54.13	2449312	FALSE
LOR076Cb1	997	95.67	2098806	FALSE
LOR076Cb2	1106	73.93	2407995	TRUE
LOR078Cb1	917	99.42	1670456	FALSE
LOR078Cb2	1564	67.66	4213378	TRUE
LOR078Cb3	860	50.64	1166688	FALSE
LOR081Cb1	1008	57.65	1934419	FALSE
LOR081Cb2	1033	51.45	1423288	FALSE
LOR082Cb1	1097	96.12	2374354	TRUE
LOR082Cb2	672	57.58	1007483	FALSE
LOR082Cb3	961	57.51	1421591	FALSE
LOR083Cb1	1179	66.63	1863500	FALSE
LOR083Cb2	1276	60.56	1958330	FALSE
LOR084Cb1	1120	98.94	2498855	TRUE
LOR084Cb2	1146	93.33	1909455	TRUE
LOR085Cb1	1052	69.73	1943831	FALSE
LOR086Cb1	1077	57.07	1901712	FALSE
LOR090Cb1	1300	98.4	2457459	TRUE
LOR090Cb2	1130	91.45	1929664	FALSE
LOR090Cb3	1287	82.28	2268824	FALSE
LOR090Cb4	1141	66.16	2394061	FALSE
LOR090Cb5	1113	53.4	2448278	TRUE
LOR091Cb1	1115	99.43	2467434	TRUE
LOR099Cb1	1114	100	2470757	TRUE
LOR101Cb1	1115	100	2475300	TRUE
LOR101Cb2	841	94.89	1786329	TRUE
LOR101Cb3	936	93.28	1947883	TRUE
LOR102Cb1	1115	98.94	2471959	TRUE
LOR102Cb2	1119	92.91	2554509	TRUE
LOR103Cb1	1435	98.32	2669884	TRUE
LOR103Cb2	1039	97.21	2135187	TRUE
LOR103Cb3	1112	93.66	2443234	TRUE
LOR202Cb1	959	99.43	2133877	TRUE
LOR202Cb2	1114	97.58	2578689	TRUE
LOR202Cb3	1025	53.1	1604183	FALSE
LOR202Cb4	713	52.36	1054782	FALSE
LOR203Cb1	1055	98.94	2095440	TRUE
LOR203Cb2	698	93.75	1173351	FALSE
LOR203Cb3	901	64.53	1698026	FALSE
LOR203Cb4	1112	61.09	2439668	TRUE
LOR204Cb1	1112	99.43	2452386	TRUE
LOR204Cb2	1122	86.27	2003527	FALSE
LOR204Cb3	634	61.5	749752	FALSE
LOR207Cb1	945	62.8	1539851	FALSE
LOR210Cb1	1045	98	2210690	FALSE
LOR210Cb2	1125	91.96	2542408	TRUE
LOR210Cb3	966	60.82	1983882	TRUE
LOR212Cb1	1116	98.45	2468924	TRUE
LOR212Cb2	810	62.08	1425171	FALSE
LOR214Cb1	971	88.45	1857327	FALSE
LOR214Cb2	1432	84.78	2764512	FALSE
LOR214Cb3	1294	82.56	2399303	FALSE
LOR215Cb1	1563	99.43	4203859	TRUE
LOR215Cb2	1117	99.42	2471144	TRUE
LOR216Cb1	1084	90.24	2339257	TRUE
LOR216Cb2	662	51.15	1030452	FALSE
LOR217Cb1	811	100	1554732	TRUE
LOR217Cb2	1129	92.94	2520082	TRUE
LOR217Cb3	907	55.46	1325324	FALSE
LOR218Cb1	888	99.43	1623476	FALSE
LOR218Cb2	1115	63.31	2473537	TRUE
LOR218Cb3	1282	50.44	1557226	FALSE
LOR219Cb1	1164	99.43	2003002	TRUE
LOR219Cb2	1115	93.67	2471281	TRUE
LOR220Cb1	1120	98.72	2510961	TRUE
LOR221Cb1	1088	87.12	2183686	FALSE
LOR222Cb1	1018	98.33	2101251	TRUE
LOR222Cb2	1180	93.94	1994553	TRUE
LOR223Cb1	1112	94.44	2435236	TRUE
LOR224Cb1	822	94.41	1635154	TRUE
LOR224Cb3	671	94.08	905295	FALSE
LOR224Cb4	1082	72.99	2321939	TRUE
LOR225Cb1	1023	91.88	2058801	FALSE
LOR225Cb2	1095	86.33	2327246	TRUE
LOR226Cb1	926	98.36	1775810	FALSE
LOR226Cb2	1169	98.31	1819096	FALSE
LOR226Cb3	1015	89.51	2099747	TRUE
LOR226Cb4	1100	86.42	2564540	FALSE
LOR226Cb5	1110	68.12	2424757	TRUE
LOR227Cb1	706	100	1259758	FALSE
LOR227Cb2	1127	79.08	2581292	TRUE
LOR228Cb1	1114	99.43	2461729	TRUE
LOR228Cb2	803	51.84	1439943	FALSE
LOR229Cb1	949	99.89	1584598	FALSE
LOR229Cb2	1121	72.35	2492007	TRUE
LOR230Cb1	1113	99.22	2451795	TRUE
LOR231Cb1	941	56.62	1511199	FALSE
LOR233Cb1	784	99.43	1317003	FALSE
LOR233Cb2	1112	52.66	2467972	TRUE
LOR234Cb1	1096	93.12	2311575	TRUE
LOR235Cb1	1363	99.43	4103479	FALSE
LOR235Cb3	723	71.17	1147624	FALSE
LOR235Cb4	1115	62.3	2473988	TRUE
LOR237Cb1	1117	96.6	2480574	TRUE
LOR238Cb1	966	98.62	1943474	FALSE
LOR238Cb2	1118	84.39	2400744	TRUE
LOR238Cb3	1132	82.77	2603870	FALSE
LOR239Cb1	1119	98.72	2474677	TRUE
LOR240Cb1	1043	99.43	2256701	TRUE
LOR240Cb2	1115	93.14	2472408	TRUE
LOR241Cb1	1454	92.97	3346552	TRUE
LOR242Cb1	923	97.28	1689017	FALSE
LOR242Cb2	999	95.12	2111907	TRUE
LOR242Cb3	1023	89.88	2038299	FALSE
LOR242Cb4	996	76.61	2013217	TRUE
LOR242Cb5	1094	76.55	2531087	FALSE
LOR243Cb1	860	98.37	1668679	FALSE
LOR243Cb2	1124	75.15	2494043	TRUE
LOR243Cb3	1227	65.97	2200485	FALSE
LOR243Cb4	684	61.43	1172890	FALSE
LOR243Cb5	1012	60.92	1490620	FALSE
LOR246Cb1	1118	99.43	2475168	TRUE
LOR246Cb2	747	83.72	1357445	FALSE
LOR248Cb1	1002	62.03	1693783	FALSE
LOR249Cb1	1112	99.43	2446272	TRUE
LOR249Cb2	649	53.62	939010	FALSE
LOR254Cb1	1121	99.43	2532402	TRUE
LOR258Cb1	1053	100	1567029	FALSE
LOR258Cb2	1040	82.13	1910387	FALSE
LOR258Cb3	1249	78.94	2318248	FALSE
LOR258Cb5	1116	58.17	2472550	TRUE
LOR258Cb6	797	56.67	1196588	FALSE
LOR259Cb1	1103	96.92	2331534	TRUE
LOR260Cb1	1307	97.67	2143864	FALSE
LOR260Cb2	1117	70.74	2447511	TRUE
LOR262Cb1	1481	99.43	5596833	FALSE
LOR262Cb2	1116	66.65	2473952	TRUE
LOR264Cb1	1122	100	2465213	TRUE
LOR264Cb2	1242	52.12	1998174	FALSE
LOR269Cb1	1103	96.67	2403248	TRUE
LOR270Cb1	1119	98.59	2482581	TRUE
LOR272Cb1	1083	90.31	2309307	TRUE
LOR274Cb1	535	77.13	898565	FALSE
LOR274Cb2	1070	70.25	1967256	FALSE
LOR275Cb1	1086	98	2352106	FALSE
LOR275Cb2	1066	96.17	2239888	TRUE
LOR275Cb3	1000	91.8	2021601	TRUE
LOR275Cb4	1106	87.89	2599856	TRUE
LOR275Cb5	997	87.84	1882678	FALSE
LOR279Cb1	1115	99.43	2466432	TRUE
LOR281Cb1	1108	89.88	1963992	FALSE
LOR281Cb2	1080	64.65	2102992	FALSE
LOR281Cb3	998	63.73	1493390	FALSE
LOR282Cb1	846	99.43	1819249	FALSE
LOR282Cb2	1114	97.21	2454517	TRUE
LOR282Cb3	899	97.15	1768427	FALSE
LOR282Cb4	1056	64.09	2326377	TRUE
LOR282Cb5	1286	50.63	3010156	TRUE
LOR283Cb1	1103	93.22	2464206	TRUE
LOR287Cb1	1104	95.49	2376145	TRUE
LOR288Cb1	1094	100	1820231	FALSE
LOR288Cb2	1114	50.4	2479284	TRUE
LOR289Cb1	1003	98.87	2008117	FALSE
LOR289Cb2	1559	85.28	4172464	TRUE
LOR295Cb1	1071	99.11	2220953	FALSE
LOR295Cb10	1104	97.45	2413626	TRUE
LOR295Cb11	1169	95.6	1923196	FALSE
LOR295Cb12	816	93.79	1036156	FALSE
LOR295Cb3	1505	86.14	2986233	TRUE
LOR295Cb4	933	80.35	1850233	FALSE
LOR295Cb5	1180	79.34	2686202	TRUE
LOR295Cb6	1210	77.87	2670440	FALSE
LOR295Cb7	863	59.31	1492435	FALSE
LOR295Cb8	1028	57.87	2259423	TRUE
LOR295Cb9	1059	56.8	2192394	FALSE
LOR300Cb1	1125	100	2513606	TRUE
LOR301Cb1	1110	99.56	2419547	TRUE
LOR303Cb1	1095	91.05	2351752	TRUE
