Pathway	Prevalence	Cutotype	gini.simpson	bray_curtis	Shared	within_diversity	between_diversity	group
PWY_7228__superpathway_of_guanosine_nucleotides_de_novo_biosynthesis_I	88.31168831	C1	0.08872102	0.2281245	Yes	low	low	simple_conserved
PWY_7279__aerobic_respiration_II_(cytochrome_c)_(yeast)	89.61038961	C1	0.09201133	0.2451496	Yes	low	low	simple_conserved
PWY_7357__thiamin_formation_from_pyrithiamine_and_oxythiamine_(yeast)	88.31168831	C1	0.009547343	0.1943353	Yes	low	low	simple_conserved
PWY_7539__6_hydroxymethyl_dihydropterin_diphosphate_biosynthesis_III_(Chlamydia)	87.01298701	C1	0.05306991	0.209546	Yes	low	low	simple_conserved
1CMET2_PWY__N10_formyl_tetrahydrofolate_biosynthesis	84.41558442	C1	0.02562665	0.1867957	No	low	low	simple_conserved
ARGSYN_PWY__L_arginine_biosynthesis_I_(via_L_ornithine)	85.71428571	C1	0.05285605	0.1823738	Yes	low	low	simple_conserved
DAPLYSINESYN_PWY__L_lysine_biosynthesis_I	87.01298701	C1	0.05946576	0.2006382	Yes	low	low	simple_conserved
GLUTORN_PWY__L_ornithine_biosynthesis	85.71428571	C1	0.06900878	0.1984891	Yes	low	low	simple_conserved
HEME_BIOSYNTHESIS_II__heme_biosynthesis_I_(aerobic)	89.61038961	C1	0.06876792	0.2287556	Yes	low	low	simple_conserved
HISDEG_PWY__L_histidine_degradation_I	87.01298701	C1	0.0847903	0.2170502	Yes	low	low	simple_conserved
HISTSYN_PWY__L_histidine_biosynthesis	83.11688312	C1	0.07477475	0.2289862	No	low	low	simple_conserved
PEPTIDOGLYCANSYN_PWY__peptidoglycan_biosynthesis_I_(meso_diaminopimelate_containing)	87.01298701	C1	0.07386374	0.1919998	Yes	low	low	simple_conserved
PWY_2942__L_lysine_biosynthesis_III	87.01298701	C1	0.08015035	0.2177907	Yes	low	low	simple_conserved
PWY_4242__pantothenate_and_coenzyme_A_biosynthesis_III	85.71428571	C1	0.05997152	0.182852	Yes	low	low	simple_conserved
PWY_4981__L_proline_biosynthesis_II_(from_arginine)	87.01298701	C1	0.02306916	0.1695126	Yes	low	low	simple_conserved
PWY_5028__L_histidine_degradation_II	87.01298701	C1	0.002587752	0.1779418	Yes	low	low	simple_conserved
PWY_5097__L_lysine_biosynthesis_VI	87.01298701	C1	0.07039582	0.2102864	Yes	low	low	simple_conserved
PWY_5188__tetrapyrrole_biosynthesis_I_(from_glutamate)	87.01298701	C1	0.08103038	0.212662	Yes	low	low	simple_conserved
PWY_5686__UMP_biosynthesis	85.71428571	C1	0.08615806	0.2107037	Yes	low	low	simple_conserved
PWY_6121__5_aminoimidazole_ribonucleotide_biosynthesis_I	87.01298701	C1	0.107569	0.2300679	Yes	low	low	simple_conserved
PWY_6123__inosine_5'_phosphate_biosynthesis_I	87.01298701	C1	0.08177173	0.1917996	Yes	low	low	simple_conserved
PWY_6125__superpathway_of_guanosine_nucleotides_de_novo_biosynthesis_II	85.71428571	C1	0.06901677	0.220863	Yes	low	low	simple_conserved
PWY_6151__S_adenosyl_L_methionine_cycle_I	85.71428571	C1	0.030111	0.1970195	Yes	low	low	simple_conserved
PWY_6385__peptidoglycan_biosynthesis_III_(mycobacteria)	85.71428571	C1	0.04250778	0.1766634	Yes	low	low	simple_conserved
PWY_6386__UDP_N_acetylmuramoyl_pentapeptide_biosynthesis_II_(lysine_containing)	87.01298701	C1	0.06162577	0.1887321	Yes	low	low	simple_conserved
PWY_6387__UDP_N_acetylmuramoyl_pentapeptide_biosynthesis_I_(meso_diaminopimelate_containing)	87.01298701	C1	0.07735267	0.1955761	Yes	low	low	simple_conserved
PWY_6897__thiamin_salvage_II	87.01298701	C1	0.007382358	0.1896435	Yes	low	low	simple_conserved
PWY_7111__pyruvate_fermentation_to_isobutanol_(engineered)	80.51948052	C1	0.1719139	0.2925928	Yes	low	low	simple_conserved
PWY_7184__pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_I	85.71428571	C1	0.05783919	0.2032214	Yes	low	low	simple_conserved
PWY_7199__pyrimidine_deoxyribonucleosides_salvage	84.41558442	C1	0.04874766	0.1960348	Yes	low	low	simple_conserved
PWY_7208__superpathway_of_pyrimidine_nucleobases_salvage	88.31168831	C1	0.07037655	0.2228023	Yes	low	low	simple_conserved
PWY_724__superpathway_of_L_lysine,_L_threonine_and_L_methionine_biosynthesis_II	84.41558442	C1	0.05686863	0.1805822	Yes	low	low	simple_conserved
PWY_7400__L_arginine_biosynthesis_IV_(archaebacteria)	85.71428571	C1	0.05257635	0.1824009	Yes	low	low	simple_conserved
PWY0_166__superpathway_of_pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_(E._coli)	85.71428571	C1	0.06055609	0.2038337	Yes	low	low	simple_conserved
THRESYN_PWY__superpathway_of_L_threonine_biosynthesis	84.41558442	C1	0.067201	0.1958436	Yes	low	low	simple_conserved
UDPNAGSYN_PWY__UDP_N_acetyl_D_glucosamine_biosynthesis_I	87.01298701	C1	0.111616	0.2210001	Yes	low	low	simple_conserved
VALSYN_PWY__L_valine_biosynthesis	79.22077922	C1	0.1444571	0.2719004	Yes	low	low	simple_conserved
COA_PWY_1__coenzyme_A_biosynthesis_II_(mammalian)	91.83673469	C2	0.3544703	0.6341751	Yes	low	high	simple_variable
COA_PWY__coenzyme_A_biosynthesis_I	91.83673469	C2	0.2955244	0.5928159	Yes	low	high	simple_variable
PWY_6122__5_aminoimidazole_ribonucleotide_biosynthesis_II	97.95918367	C2	0.4604605	0.6710136	Yes	low	high	simple_variable
PWY_6147__6_hydroxymethyl_dihydropterin_diphosphate_biosynthesis_I	83.67346939	C2	0.1963959	0.5657222	Yes	low	high	simple_variable
PWY_6277__superpathway_of_5_aminoimidazole_ribonucleotide_biosynthesis	97.95918367	C2	0.4604605	0.6710136	Yes	low	high	simple_variable
PWY_6609__adenine_and_adenosine_salvage_III	93.87755102	C2	0.2795332	0.5923832	Yes	low	high	simple_variable
PWY_7184__pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_I	85.71428571	C2	0.2226401	0.6409469	Yes	low	high	simple_variable
PWY_7197__pyrimidine_deoxyribonucleotide_phosphorylation	93.87755102	C2	0.2921418	0.6593477	Yes	low	high	simple_variable
PWY_7208__superpathway_of_pyrimidine_nucleobases_salvage	93.87755102	C2	0.2645232	0.6779843	Yes	low	high	simple_variable
PWY_7219__adenosine_ribonucleotides_de_novo_biosynthesis	91.83673469	C2	0.3950447	0.6498472	Yes	low	high	simple_variable
PWY_7220__adenosine_deoxyribonucleotides_de_novo_biosynthesis_II	93.87755102	C2	0.3520269	0.680945	Yes	low	high	simple_variable
PWY_7222__guanosine_deoxyribonucleotides_de_novo_biosynthesis_II	93.87755102	C2	0.3520269	0.680945	Yes	low	high	simple_variable
PWY_7539__6_hydroxymethyl_dihydropterin_diphosphate_biosynthesis_III_(Chlamydia)	81.63265306	C2	0.2100792	0.545436	Yes	low	high	simple_variable
PWY0_166__superpathway_of_pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_(E._coli)	85.71428571	C2	0.2289177	0.6400719	Yes	low	high	simple_variable
UDPNAGSYN_PWY__UDP_N_acetyl_D_glucosamine_biosynthesis_I	97.95918367	C2	0.4129649	0.6434437	Yes	low	high	simple_variable
ARGSYN_PWY__L_arginine_biosynthesis_I_(via_L_ornithine)	85.71428571	C2	0.3210867	0.6287867	Yes	low	high	simple_variable
ARGSYNBSUB_PWY__L_arginine_biosynthesis_II_(acetyl_cycle)	89.79591837	C2	0.3276739	0.6052237	Yes	low	high	simple_variable
DAPLYSINESYN_PWY__L_lysine_biosynthesis_I	79.59183673	C2	0.2894683	0.6005533	Yes	low	high	simple_variable
GLUTORN_PWY__L_ornithine_biosynthesis	85.71428571	C2	0.3390495	0.6341505	Yes	low	high	simple_variable
HEME_BIOSYNTHESIS_II__heme_biosynthesis_I_(aerobic)	89.79591837	C2	0.3288851	0.6070557	Yes	low	high	simple_variable
HISDEG_PWY__L_histidine_degradation_I	95.91836735	C2	0.3802408	0.6506128	Yes	low	high	simple_variable
NONOXIPENT_PWY__pentose_phosphate_pathway_(non_oxidative_branch)	83.67346939	C2	0.3675734	0.8877473	No	low	high	simple_variable
PEPTIDOGLYCANSYN_PWY__peptidoglycan_biosynthesis_I_(meso_diaminopimelate_containing)	91.83673469	C2	0.295431	0.599203	Yes	low	high	simple_variable
PWY_2942__L_lysine_biosynthesis_III	81.63265306	C2	0.344073	0.6015183	Yes	low	high	simple_variable
PWY_3781__aerobic_respiration_I_(cytochrome_c)	95.91836735	C2	0.4305172	0.636555	Yes	low	high	simple_variable
PWY_3841__folate_transformations_II	85.71428571	C2	0.3139848	0.6226702	Yes	low	high	simple_variable
PWY_4242__pantothenate_and_coenzyme_A_biosynthesis_III	83.67346939	C2	0.223069	0.5632287	Yes	low	high	simple_variable
PWY_4981__L_proline_biosynthesis_II_(from_arginine)	81.63265306	C2	0.0548366	0.3989532	Yes	low	low	simple_conserved
PWY_5028__L_histidine_degradation_II	83.67346939	C2	0	0.3833324	Yes	low	low	simple_conserved
PWY_5097__L_lysine_biosynthesis_VI	79.59183673	C2	0.3258965	0.6119168	Yes	low	high	simple_variable
PWY_5188__tetrapyrrole_biosynthesis_I_(from_glutamate)	81.63265306	C2	0.2746358	0.6254449	Yes	low	high	simple_variable
PWY_5686__UMP_biosynthesis	87.75510204	C2	0.3383246	0.6284581	Yes	low	high	simple_variable
PWY_6121__5_aminoimidazole_ribonucleotide_biosynthesis_I	95.91836735	C2	0.4307158	0.6650727	Yes	low	high	simple_variable
PWY_6123__inosine_5'_phosphate_biosynthesis_I	93.87755102	C2	0.374206	0.6648529	Yes	low	high	simple_variable
PWY_6125__superpathway_of_guanosine_nucleotides_de_novo_biosynthesis_II	85.71428571	C2	0.3039555	0.619714	Yes	low	high	simple_variable
PWY_6151__S_adenosyl_L_methionine_cycle_I	81.63265306	C2	0.06382999	0.4406788	Yes	low	low	simple_conserved
PWY_6385__peptidoglycan_biosynthesis_III_(mycobacteria)	85.71428571	C2	0.258716	0.5456979	Yes	low	high	simple_variable
PWY_6386__UDP_N_acetylmuramoyl_pentapeptide_biosynthesis_II_(lysine_containing)	89.79591837	C2	0.3022573	0.5949299	Yes	low	high	simple_variable
PWY_6387__UDP_N_acetylmuramoyl_pentapeptide_biosynthesis_I_(meso_diaminopimelate_containing)	91.83673469	C2	0.3054093	0.5970401	Yes	low	high	simple_variable
PWY_6897__thiamin_salvage_II	77.55102041	C2	0.03308518	0.3850634	Yes	low	low	simple_conserved
PWY_7111__pyruvate_fermentation_to_isobutanol_(engineered)	91.83673469	C2	0.520819	0.7237201	Yes	high	high	complex_variable
PWY_7199__pyrimidine_deoxyribonucleosides_salvage	83.67346939	C2	0.1398427	0.6030862	Yes	low	high	simple_variable
PWY_7221__guanosine_ribonucleotides_de_novo_biosynthesis	93.87755102	C2	0.3966611	0.6510489	Yes	low	high	simple_variable
PWY_7228__superpathway_of_guanosine_nucleotides_de_novo_biosynthesis_I	89.79591837	C2	0.3509887	0.6505613	Yes	low	high	simple_variable
PWY_724__superpathway_of_L_lysine,_L_threonine_and_L_methionine_biosynthesis_II	77.55102041	C2	0.2206446	0.5442708	Yes	low	high	simple_variable
PWY_7279__aerobic_respiration_II_(cytochrome_c)_(yeast)	91.83673469	C2	0.4332433	0.6450061	Yes	low	high	simple_variable
PWY_7357__thiamin_formation_from_pyrithiamine_and_oxythiamine_(yeast)	77.55102041	C2	0.0840682	0.4085923	Yes	low	low	simple_conserved
PWY_7400__L_arginine_biosynthesis_IV_(archaebacteria)	85.71428571	C2	0.3171908	0.6280707	Yes	low	high	simple_variable
THRESYN_PWY__superpathway_of_L_threonine_biosynthesis	83.67346939	C2	0.2589122	0.5885037	Yes	low	high	simple_variable
VALSYN_PWY__L_valine_biosynthesis	93.87755102	C2	0.4991274	0.7482855	Yes	low	high	simple_variable
