Pathway	Species	LOR015C	LOR016C	LOR018C	LOR019C	LOR020C	LOR022C	LOR025C	LOR026C	LOR028C	LOR029C	LOR033C	LOR036C	LOR037C	LOR051C	LOR054C	LOR058C	LOR060C	LOR061C	LOR074C	LOR076C	LOR078C	LOR081C	LOR083C	LOR084C	LOR085C	LOR086C	LOR090C	LOR098C	LOR103C	LOR206C	LOR208C	LOR210C	LOR211C	LOR212C	LOR215C	LOR219C	LOR221C	LOR222C	LOR225C	LOR229C	LOR241C	LOR242C	LOR243C	LOR260C	LOR272C	LOR275C	LOR281C	LOR282C	LOR284C	LOR289C	LOR295C
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	g__Corynebacterium.s__Corynebacterium_accolens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0017325	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	g__Corynebacterium.s__Corynebacterium_amycolatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	g__Mycobacteroides.s__Mycobacteroides_chelonae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	g__Streptococcus.s__Streptococcus_cristatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	g__Streptococcus.s__Streptococcus_mitis	0	0	0	0	0	0	0	0	0	0.0013939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	g__Streptococcus.s__Streptococcus_oralis	0	0	0	0	0	0	0	0	0	0.000608021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	unclassified	0	0	0.00679524	0	0	0.00189031	0	0	0	0	0	0	0	0.00258869	0.00142137	0	0.00435133	0	0	0	0	0	0	0	0	0	0.00109974	0	0	0.00254155	0	0	0	0.00108346	0.000478862	0	0	0	0.00162056	0.000305271	0	0.00111792	0	0	0	0	0.00239074	0	0.00163776	0	0.00115154
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000331795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000186926	0	0	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	g__Mycobacteroides.s__Mycobacteroides_chelonae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	unclassified	0	0	0.00269002	0	0	0.000550776	0	0	0	0	0	0	0	0	9.70E-05	0	0.00161966	0	0	0	0	0	0	0	0	0	0.000398832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00100172	0	0	0	0	0	0	0	0.000531984
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	g__Acinetobacter.s__Acinetobacter_johnsonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00526916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	g__Brachybacterium.s__Brachybacterium_muris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000397666	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	g__Brevundimonas.s__Brevundimonas_diminuta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000336112	0	0	0	0.000601626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	g__Brevundimonas.s__Brevundimonas_naejangsanensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000158675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	g__Brevundimonas.s__Brevundimonas_vesicularis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00179206	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	g__Corynebacterium.s__Corynebacterium_amycolatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	g__Corynebacterium.s__Corynebacterium_lipophiloflavum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000763977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00284618	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	g__Cutibacterium.s__Cutibacterium_acnes	0	0.00599415	0	0	0.00916815	0.00275846	0	0.00105761	0.00544893	0.00192931	0.00885048	0.00662581	0	0.00485409	0.00185263	0	0	0.00267799	0.00195941	0.00656642	0.0030414	0.00246626	0	0.00789871	0.0126943	0.0171614	0.00196593	0	0.00515331	0.00298804	0	0.00463325	0	0.0057996	0.0112448	0.00544473	0.00659547	0.00104616	0.00554868	0.0089147	0	0.000448619	0.00438005	0.00561415	0.00434468	0.00148344	0	0.0029678	0	0.00850674	0.00183434
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	g__Dermacoccus.s__Dermacoccus_sp_PE3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00132574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	g__Dietzia.s__Dietzia_timorensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000931041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	g__Enhydrobacter.s__Enhydrobacter_aerosaccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000583084	0	0	0	0	0	0.000414543	0	0.000549494	0	0.000149416	0	0	0	0	0	0	0	0.000207814	0	0	0	0.00265832	0	0.00228306	0.000269147	0	0	8.15E-05	0.000956307	0	0	0	0.00110063	0	0	0	0.00026366
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	g__Haematobacter.s__Haematobacter_massiliensis	0	0	0	0	0	0.00262492	0	0	0	0	0	0	0	0	0.000354591	0	0	0	0	0	0	0	0	0	0	0	0.000673461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	g__Halomonas.s__Halomonas_hydrothermalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	g__Hyphomonas.s__Hyphomonas_neptunium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.91E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	g__Janibacter.s__Janibacter_indicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00125583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00109936	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	g__Kocuria.s__Kocuria_indica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	g__Kocuria.s__Kocuria_palustris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000318626	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	g__Microbacterium.s__Microbacterium_aurum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000189737
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	g__Micrococcus.s__Micrococcus_aloeverae	0	0	0	0.0018775	0	0	0	0.000764969	0	0	0	0	0	0	0	0	0	0.00330993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000165202	0.000916629	0	0.000918192	0	0	0.00127967	0	0	0.000193516
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	g__Micrococcus.s__Micrococcus_luteus	0	0	0	0.000920335	0	0	0	0.000939891	0	0	0	0	0	0	0	0	0	0.00386896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000171939	0.000334758	0	0.000633936	0	0	0.00232122	0.0033092	0	0.00029695
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	g__Moraxella.s__Moraxella_osloensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000721783	0	0	0	0	0	0.000371603	0	0.000482144	0	0	0	0	0	0	0	0	0	0.000291198	0	0	0	0.00244904	0	0.00175174	0.000138092	0	0	7.81E-05	0.00100977	0	0	0	0.00102111	0	0	0	0.000220912
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	g__Neisseria.s__Neisseria_flavescens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	g__Neisseria.s__Neisseria_mucosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	g__Neisseria.s__Neisseria_sicca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	g__Paracoccus.s__Paracoccus_sanguinis	0	0.0030231	0	0	0	0	0	0	0	0	0	0	0	0	0.000496054	0	0	0	0	0	0	0	0	0	0	0	0.000290809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	g__Paracoccus.s__Paracoccus_sphaerophysae	0	0	0	0	0	0	0	0	0.00316404	0	0	0	0	0	0	0.00649541	0	0	0	0	0	0	0	0	0	0	0	0	0.00560905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00475332	0	0	0	0	0	0	0.00166096
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	g__Pseudomonas.s__Pseudomonas_fragi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000122505	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	g__Pseudomonas.s__Pseudomonas_helleri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.86E-05	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	g__Pseudomonas.s__Pseudomonas_lundensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000170479	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	unclassified	0	0	0.00877379	0	0	0.00352075	0	0.00216926	0	0	0.00315288	0	0	0.00130436	0.00258125	0	0.00523418	0	0.00662551	0	0.00684252	0	0	0	0	0	0.00126047	0	0	0	0	0.000727404	0	0	0.00165469	0	0	0	0	0.00126031	0	0.0027599	0.00134879	0	0	0.00325108	0.00338431	0	0.00519471	0	0.00139126
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	g__Acinetobacter.s__Acinetobacter_johnsonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00663561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	g__Brachybacterium.s__Brachybacterium_muris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000494364	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	g__Brevundimonas.s__Brevundimonas_diminuta	0	0	0	0	0	0.000302707	0	0	0	0	0	0	0	0	0.00037096	0	0	0	0.000542991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	g__Brevundimonas.s__Brevundimonas_naejangsanensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000201919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	g__Brevundimonas.s__Brevundimonas_nasdae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	g__Brevundimonas.s__Brevundimonas_vesicularis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00205128	0	0	0	0.000223853
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	g__Corynebacterium.s__Corynebacterium_amycolatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	g__Corynebacterium.s__Corynebacterium_lipophiloflavum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000961273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000443409	0	0	0	0.00367575	0	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	g__Corynebacterium.s__Corynebacterium_urealyticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	g__Cutibacterium.s__Cutibacterium_acnes	0	0.00688254	0	0	0.0103331	0.00292014	0	0.00099605	0.00608051	0.00185547	0.00953729	0.00654857	0.00655958	0.00543998	0.00205772	0	0	0.00229776	0.00229657	0.00720388	0.00349494	0.00357938	0.00365364	0.00803225	0.0106918	0.0153808	0.00187584	0	0.00494101	0.0028786	0	0.00491104	0	0.00624694	0.01215	0.00588974	0.00723936	0.00109232	0.00606433	0.00917344	0.00656002	0.00054337	0.00415175	0.00553808	0.00412227	0.00147347	0	0.00292682	0	0.00986754	0.00179597
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	g__Cutibacterium.s__Propionibacterium_humerusii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	g__Dermacoccus.s__Dermacoccus_sp_PE3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00144021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	g__Dietzia.s__Dietzia_timorensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00116573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	g__Enhydrobacter.s__Enhydrobacter_aerosaccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000687724	0	0	0	0	0	0.000444624	0	0.000660915	0	0	0	0	0	0	0	0	0	0.000197954	0	0	0	0.00254988	0	0.00246952	0.000218728	0	0	8.83E-05	0.00107466	0	0	0	0.00123981	0	0	0	0.000296593
